Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClientTests,,This is a set of Person Group Management Test Cases.,2019-05-08 21:19:47,2019-05-08 21:19:59,12.144s,PASSED
,,,,,,
Test Cases/PersonGroupManagement/V1/Client/TC-25-AUTO-Services Create Client Postman URL,,This test case verifies that a client can be created and then verifies that it was created via the POST response.,2019-05-08 21:19:47,2019-05-08 21:19:59,11.979s,PASSED
"response = sendRequest(findTestObject(""PersonGroupManagement/V1/Client/CreateClient"", [""legalClientName"":legalClientName, ""clientName"":clientName, ""primaryContactEmail"":primaryContactEmail]))",,,2019-05-08 21:19:47,2019-05-08 21:19:59,11.733s,PASSED
"verifyElementPropertyValue(response, ""legalClientName"", legalClientName)",,,2019-05-08 21:19:59,2019-05-08 21:19:59,0.028s,PASSED
"verifyElementPropertyValue(response, ""clientName"", clientName)",,,2019-05-08 21:19:59,2019-05-08 21:19:59,0.014s,PASSED
"verifyElementPropertyValue(response, ""primaryContactEmail"", primaryContactEmail)",,,2019-05-08 21:19:59,2019-05-08 21:19:59,0.014s,PASSED
"verifyResponseStatusCode(response, 201)",,,2019-05-08 21:19:59,2019-05-08 21:19:59,0.008s,PASSED
